FIPS,AE_latent_1,AE_latent_2,AE_latent_3,AE_latent_4
16075,2.100751,3.624323,5.072898,-1.4958985
16079,2.4218783,3.424899,5.7237782,-1.9284507
16081,2.5910711,3.0542681,6.705556,0.15238139
16083,2.1998208,4.183052,4.6781363,-2.2034652
16085,2.652483,4.066633,6.163992,-2.1258898
16087,2.4982276,4.180601,6.113885,-2.1523926
17001,1.6282576,4.03871,4.657017,-2.8242435
17007,1.088839,2.5110593,2.6018424,-1.4787327
17011,1.3432631,3.4527428,3.839243,-2.2364526
17013,0.69017696,-0.84048086,1.7287562,-0.23649606
17015,1.556628,2.6256878,3.0923731,-1.705135
17017,1.8281786,2.8066638,3.7422228,-2.3809266
17019,0.6216159,5.2071586,5.809761,-2.9273155
17021,1.547803,3.0409129,3.9598396,-2.21204
